timestamp,model_type,use_roi,use_roi_labels,epochs1,epochs2,seed,fingerprint1,best_val_loss_part1,thresholds,fingerprint2,best_val_loss_part2,dataset_test_dir,mse_x,mse_y,mse_cotA,mse_cotB,mse_total
2026-07-23T16:03:14,Mlp_Slim,False,,200,200,42,392456de,22.0305,"[299.92, 582.69, 1471.42]",392456de,21.8947,/nas/work/research/smartpix-box/pixelAV_datasets/shuffled/largerWindowPreliminary/dataset_2sc_16x16_50x12P5_centeredIncidence_parquets,0.003960,0.005368,,0.002242,0.003857
2026-07-23T19:58:49,Mlp_Slim,True,True,200,200,42,392456de,82.3103,"[281.58, 795.07, 1786.18]",392456de,81.3262,/extras2/home/gdg/research/projects/smartpixels/VIAS/find_charge_cluster_centers/implementation/testbench/cocotb/release/roi_finder/sim_out/dataset_2s_48x192_50x12P5_parquets,0.036228,0.004133,,0.006871,0.015744
2026-07-25T00:46:39,Mlp_Slim,True,True,200,200,42,392456de,28.7406,"[281.88, 786.51, 1795.19]",392456de,28.4116,/extras2/home/gdg/research/projects/smartpixels/VIAS/find_charge_cluster_centers/implementation/testbench/cocotb/release/roi_finder/sim_out/dataset_2s_48x192_50x12P5_parquets_fixed,0.005419,0.002803,,0.006874,0.005032
